[NodeSet]:398		[PeerSet]:3286		[12-bit Zone]:0 [0/s]		[Response]:            67.59%		[Queue]:200		
[NodeSet]:398		[PeerSet]:3286		[12-bit Zone]:0 [0/s]		[Response]:            68.84%		[Queue]:196		
[NodeSet]:398		[PeerSet]:3296		[12-bit Zone]:0 [0/s]		[Response]:            69.35%		[Queue]:200		
[NodeSet]:398		[PeerSet]:3298		[12-bit Zone]:0 [0/s]		[Response]:            69.60%		[Queue]:200		
[NodeSet]:398		[PeerSet]:3305		[12-bit Zone]:0 [0/s]		[Response]:            69.85%		[Queue]:200		
[NodeSet]:398		[PeerSet]:3305		[12-bit Zone]:0 [0/s]		[Response]:            71.11%		[Queue]:196		
[NodeSet]:398		[PeerSet]:3316		[12-bit Zone]:0 [0/s]		[Response]:            71.61%		[Queue]:200		
[NodeSet]:399		[PeerSet]:3326		[12-bit Zone]:0 [0/s]		[Response]:            71.68%		[Queue]:200		
[NodeSet]:399		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            71.93%		[Queue]:200		
[NodeSet]:403		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            72.46%		[Queue]:200		
[NodeSet]:410		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            71.46%		[Queue]:200		
[NodeSet]:416		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            70.67%		[Queue]:200		
[NodeSet]:422		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            69.91%		[Queue]:200		
[NodeSet]:428		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            69.16%		[Queue]:200		
[NodeSet]:436		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            68.12%		[Queue]:200		
[NodeSet]:444		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            67.12%		[Queue]:200		
[NodeSet]:452		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            66.15%		[Queue]:200		
[NodeSet]:457		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            65.65%		[Queue]:200		
[NodeSet]:461		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            65.29%		[Queue]:200		
[NodeSet]:468		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            64.53%		[Queue]:200		
[NodeSet]:476		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            63.66%		[Queue]:200		
[NodeSet]:480		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            63.33%		[Queue]:200		
[NodeSet]:488		[PeerSet]:3338		[12-bit Zone]:0 [0/s]		[Response]:            62.50%		[Queue]:200		
