( 4055, 1644 )
( 4060, 1645 )
( 4065, 1646 )
( 4070, 1646 )
( 4075, 1647 )
( 4080, 1648 )
( 4085, 1649 )
( 4090, 1650 )
( 4095, 1651 )
( 4100, 1651 )
( 4105, 1652 )
( 4110, 1653 )
( 4115, 1654 )
( 4120, 1655 )
( 4125, 1655 )
( 4130, 1656 )
( 4135, 1657 )
( 4140, 1658 )
( 4145, 1658 )
( 4150, 1659 )
( 4155, 1660 )
( 4160, 1661 )
( 4165, 1662 )
( 4170, 1663 )
( 4175, 1664 )
( 4180, 1665 )
( 4185, 1666 )
( 4190, 1667 )
( 4195, 1668 )
( 4200, 1669 )
( 4205, 1670 )
( 4210, 1671 )
( 4215, 1672 )
( 4220, 1673 )
( 4225, 1674 )
( 4230, 1675 )
( 4235, 1676 )
( 4240, 1677 )
( 4245, 1678 )
( 4250, 1679 )
( 4255, 1680 )
( 4260, 1681 )
( 4265, 1681 )
( 4270, 1682 )
( 4275, 1683 )
( 4280, 1684 )
( 4285, 1685 )
( 4290, 1686 )
( 4295, 1687 )
( 4300, 1688 )
( 4305, 1689 )
( 4310, 1689 )
( 4315, 1690 )
( 4320, 1691 )
( 4325, 1692 )
( 4330, 1692 )
( 4335, 1693 )
( 4340, 1694 )
( 4345, 1694 )
( 4350, 1695 )
( 4355, 1696 )
( 4360, 1696 )
( 4365, 1697 )
( 4370, 1698 )
( 4375, 1698 )
( 4380, 1699 )
( 4385, 1700 )
( 4390, 1700 )
( 4395, 1701 )
( 4400, 1702 )
( 4405, 1702 )
( 4410, 1703 )
( 4415, 1703 )
( 4420, 1704 )
( 4425, 1705 )
( 4430, 1705 )
( 4435, 1706 )
( 4440, 1706 )
( 4445, 1707 )
( 4450, 1708 )
( 4455, 1708 )
( 4460, 1709 )
( 4465, 1710 )
( 4470, 1710 )
( 4475, 1711 )
( 4480, 1712 )
( 4485, 1712 )
( 4490, 1713 )
( 4495, 1714 )
( 4500, 1715 )
( 4505, 1715 )
( 4510, 1716 )
( 4515, 1717 )
( 4520, 1718 )
( 4525, 1718 )
( 4530, 1719 )
( 4535, 1720 )
( 4540, 1720 )
( 4545, 1721 )
( 4550, 1722 )
( 4555, 1723 )
( 4560, 1724 )
( 4565, 1725 )
( 4570, 1725 )
( 4575, 1726 )
( 4580, 1726 )
( 4585, 1727 )
( 4590, 1728 )
( 4595, 1728 )
( 4600, 1729 )
( 4605, 1729 )
( 4610, 1730 )
( 4615, 1731 )
( 4620, 1731 )
( 4625, 1732 )
( 4630, 1733 )
( 4635, 1734 )
( 4640, 1734 )
( 4645, 1735 )
( 4650, 1736 )
( 4655, 1736 )
( 4660, 1737 )
( 4665, 1738 )
( 4670, 1738 )
( 4675, 1739 )
( 4680, 1739 )
( 4685, 1740 )
( 4690, 1740 )
( 4695, 1741 )
( 4700, 1742 )
( 4705, 1742 )
( 4710, 1743 )
( 4715, 1743 )
( 4720, 1744 )
( 4725, 1744 )
( 4730, 1745 )
( 4735, 1746 )
( 4740, 1746 )
( 4745, 1747 )
( 4750, 1747 )
( 4755, 1748 )
( 4760, 1749 )
( 4765, 1750 )
( 4770, 1750 )
( 4775, 1751 )
( 4780, 1752 )
( 4785, 1752 )
( 4790, 1753 )
( 4795, 1754 )
( 4800, 1754 )
( 4805, 1755 )
( 4810, 1756 )
( 4815, 1756 )
( 4820, 1757 )
( 4825, 1757 )
( 4830, 1758 )
( 4835, 1758 )
( 4840, 1759 )
( 4845, 1760 )
( 4850, 1760 )
( 4855, 1761 )
( 4860, 1762 )
( 4865, 1762 )
( 4870, 1763 )
( 4875, 1764 )
( 4880, 1764 )
( 4885, 1765 )
( 4890, 1766 )
( 4895, 1766 )
( 4900, 1767 )
( 4905, 1767 )
( 4910, 1768 )
( 4915, 1768 )
( 4920, 1769 )
( 4925, 1769 )
( 4930, 1770 )
( 4935, 1771 )
( 4940, 1771 )
( 4945, 1772 )
( 4950, 1772 )
( 4955, 1773 )
( 4960, 1773 )
( 4965, 1774 )
( 4970, 1775 )
( 4975, 1775 )
( 4980, 1776 )
( 4985, 1776 )
( 4990, 1777 )
( 4995, 1777 )
( 5000, 1778 )
( 5005, 1778 )
( 5010, 1779 )
( 5015, 1780 )
( 5020, 1780 )
( 5025, 1781 )
( 5030, 1781 )
( 5035, 1782 )
( 5040, 1782 )
( 5045, 1783 )
( 5050, 1783 )
( 5055, 1784 )
( 5060, 1784 )
( 5065, 1785 )
( 5070, 1785 )
( 5075, 1785 )
( 5080, 1786 )
( 5085, 1786 )
( 5090, 1787 )
( 5095, 1788 )
( 5100, 1788 )
( 5105, 1788 )
( 5110, 1789 )
( 5115, 1789 )
( 5120, 1790 )
( 5125, 1790 )
( 5130, 1790 )
( 5135, 1791 )
( 5140, 1792 )
( 5145, 1792 )
( 5150, 1793 )
( 5155, 1793 )
( 5160, 1794 )
( 5165, 1794 )
( 5170, 1795 )
( 5175, 1795 )
( 5180, 1796 )
( 5185, 1796 )
( 5190, 1797 )
( 5195, 1797 )
( 5200, 1798 )
( 5205, 1798 )
( 5210, 1799 )
( 5215, 1799 )
( 5220, 1799 )
( 5225, 1800 )
( 5230, 1800 )
( 5235, 1801 )
( 5240, 1801 )
( 5245, 1802 )
( 5250, 1802 )
( 5255, 1803 )
( 5260, 1803 )
( 5265, 1803 )
( 5270, 1804 )
( 5275, 1804 )
( 5280, 1805 )
( 5285, 1805 )
( 5290, 1806 )
( 5295, 1806 )
( 5300, 1807 )
( 5305, 1807 )
( 5310, 1807 )
( 5315, 1808 )
( 5320, 1808 )
( 5325, 1809 )
( 5330, 1809 )
( 5335, 1810 )
( 5340, 1810 )
( 5345, 1810 )
( 5350, 1811 )
( 5355, 1811 )
( 5360, 1812 )
( 5365, 1812 )
( 5370, 1812 )
( 5375, 1813 )
( 5380, 1813 )
( 5385, 1814 )
( 5390, 1814 )
( 5395, 1814 )
( 5400, 1815 )
( 5405, 1815 )
( 5410, 1816 )
( 5415, 1816 )
( 5420, 1817 )
( 5425, 1817 )
( 5430, 1817 )
( 5435, 1818 )
( 5440, 1818 )
( 5445, 1818 )
( 5450, 1819 )
( 5455, 1819 )
( 5460, 1819 )
( 5465, 1820 )
( 5470, 1820 )
( 5475, 1821 )
( 5480, 1821 )
( 5485, 1821 )
( 5490, 1822 )
( 5495, 1822 )
( 5500, 1822 )
( 5505, 1823 )
( 5510, 1823 )
( 5515, 1823 )
( 5520, 1824 )
( 5525, 1824 )
( 5530, 1825 )
( 5535, 1825 )
( 5540, 1825 )
( 5545, 1826 )
( 5550, 1826 )
( 5555, 1826 )
( 5560, 1827 )
( 5565, 1827 )
( 5570, 1827 )
( 5575, 1828 )
( 5580, 1828 )
( 5585, 1828 )
( 5590, 1829 )
( 5595, 1829 )
( 5600, 1829 )
( 5605, 1830 )
( 5610, 1830 )
( 5615, 1830 )
( 5620, 1831 )
( 5625, 1831 )
( 5630, 1832 )
( 5635, 1832 )
( 5640, 1832 )
( 5645, 1832 )
( 5650, 1833 )
( 5655, 1833 )
( 5660, 1833 )
( 5665, 1833 )
( 5670, 1834 )
( 5675, 1834 )
( 5680, 1834 )
( 5685, 1835 )
( 5690, 1835 )
( 5695, 1835 )
( 5700, 1835 )
( 5705, 1836 )
( 5710, 1836 )
( 5715, 1836 )
( 5720, 1837 )
( 5725, 1837 )
( 5730, 1837 )
( 5735, 1837 )
( 5740, 1838 )
( 5745, 1838 )
( 5750, 1838 )
( 5755, 1838 )
( 5760, 1838 )
( 5765, 1839 )
( 5770, 1839 )
( 5775, 1839 )
( 5780, 1839 )
( 5785, 1840 )
( 5790, 1840 )
( 5795, 1840 )
( 5800, 1841 )
( 5805, 1841 )
( 5810, 1841 )
( 5815, 1841 )
( 5820, 1842 )
( 5825, 1842 )
( 5830, 1842 )
( 5835, 1842 )
( 5840, 1843 )
( 5845, 1843 )
( 5850, 1843 )
( 5855, 1843 )
( 5860, 1843 )
( 5865, 1843 )
( 5870, 1844 )
( 5875, 1844 )
( 5880, 1844 )
( 5885, 1844 )
( 5890, 1845 )
( 5895, 1845 )
( 5900, 1845 )
( 5905, 1845 )
( 5910, 1846 )
( 5915, 1846 )
( 5920, 1846 )
( 5925, 1846 )
( 5930, 1847 )
( 5935, 1847 )
( 5940, 1847 )
( 5945, 1848 )
( 5950, 1848 )
( 5955, 1848 )
( 5960, 1849 )
( 5965, 1849 )
( 5970, 1849 )
( 5975, 1850 )
( 5980, 1850 )
( 5985, 1850 )
( 5990, 1851 )
( 5995, 1851 )
( 6000, 1851 )
( 6005, 1851 )
( 6010, 1852 )
( 6015, 1852 )
( 6020, 1852 )
( 6025, 1852 )
( 6030, 1853 )
( 6035, 1853 )
( 6040, 1853 )
( 6045, 1854 )
( 6050, 1854 )
( 6055, 1854 )
( 6060, 1854 )
( 6065, 1854 )
( 6070, 1855 )
( 6075, 1855 )
( 6080, 1855 )
( 6085, 1855 )
( 6090, 1856 )
( 6095, 1856 )
( 6100, 1856 )
( 6105, 1856 )
( 6110, 1857 )
( 6115, 1857 )
( 6120, 1857 )
( 6125, 1858 )
( 6130, 1858 )
( 6135, 1858 )
( 6140, 1858 )
( 6145, 1859 )
( 6150, 1859 )
( 6155, 1859 )
( 6160, 1860 )
( 6165, 1860 )
( 6170, 1860 )
( 6175, 1860 )
( 6180, 1860 )
( 6185, 1861 )
( 6190, 1861 )
( 6195, 1861 )
( 6200, 1861 )
( 6205, 1862 )
( 6210, 1862 )
( 6215, 1862 )
( 6220, 1863 )
( 6225, 1863 )
( 6230, 1863 )
( 6235, 1863 )
( 6240, 1863 )
( 6245, 1863 )
( 6250, 1864 )
( 6255, 1864 )
( 6260, 1864 )
( 6265, 1864 )
( 6270, 1865 )
( 6275, 1865 )
( 6280, 1865 )
( 6285, 1865 )
( 6290, 1866 )
( 6295, 1866 )
( 6300, 1866 )
( 6305, 1866 )
( 6310, 1866 )
( 6315, 1867 )
( 6320, 1867 )
( 6325, 1867 )
( 6330, 1867 )
( 6335, 1868 )
( 6340, 1868 )
( 6345, 1868 )
( 6350, 1869 )
( 6355, 1869 )
( 6360, 1869 )
( 6365, 1869 )
( 6370, 1869 )
( 6375, 1870 )
( 6380, 1870 )
( 6385, 1870 )
( 6390, 1870 )
( 6395, 1870 )
( 6400, 1871 )
( 6405, 1871 )
( 6410, 1871 )
( 6415, 1871 )
( 6420, 1872 )
( 6425, 1872 )
( 6430, 1872 )
( 6435, 1872 )
( 6440, 1872 )
( 6445, 1873 )
( 6450, 1873 )
( 6455, 1873 )
( 6460, 1873 )
( 6465, 1874 )
( 6470, 1874 )
( 6475, 1874 )
