( 5, 0 )
( 3725, 5804 )
( 3730, 5809 )
( 3735, 5814 )
( 3740, 5819 )
( 3745, 5824 )
( 3750, 5830 )
( 3755, 5834 )
( 3760, 5839 )
( 3765, 5843 )
( 3770, 5848 )
( 3775, 5854 )
( 3780, 5859 )
( 3785, 5864 )
( 3790, 5869 )
( 3795, 5875 )
( 3800, 5880 )
( 3805, 5885 )
( 3810, 5890 )
( 3815, 5895 )
( 3820, 5899 )
( 3825, 5904 )
( 3830, 5908 )
( 3835, 5913 )
( 3840, 5917 )
( 3845, 5922 )
( 3850, 5926 )
( 3855, 5931 )
( 3860, 5936 )
( 3865, 5941 )
( 3870, 5946 )
( 3875, 5952 )
( 3880, 5957 )
( 3885, 5961 )
( 3890, 5967 )
( 3895, 5971 )
( 3900, 5977 )
( 3905, 5982 )
( 3910, 5987 )
( 3915, 5991 )
( 3920, 5996 )
( 3925, 6001 )
( 3930, 6006 )
( 3935, 6010 )
( 3940, 6015 )
( 3945, 6019 )
( 3950, 6024 )
( 3955, 6029 )
( 3960, 6035 )
( 3965, 6039 )
( 3970, 6045 )
( 3975, 6050 )
( 3980, 6055 )
( 3985, 6060 )
( 3990, 6065 )
( 3995, 6070 )
( 4000, 6074 )
( 4005, 6079 )
( 4010, 6085 )
( 4015, 6090 )
( 4020, 6095 )
( 4025, 6099 )
( 4030, 6103 )
( 4035, 6107 )
( 4040, 6111 )
( 4045, 6116 )
( 4050, 6121 )
( 4055, 6125 )
( 4060, 6130 )
( 4065, 6136 )
( 4070, 6141 )
( 4075, 6147 )
( 4080, 6153 )
( 4085, 6158 )
( 4090, 6164 )
( 4095, 6170 )
( 4100, 6176 )
( 4105, 6182 )
( 4110, 6187 )
( 4115, 6193 )
( 4120, 6199 )
( 4125, 6204 )
( 4130, 6209 )
( 4135, 6215 )
( 4140, 6221 )
( 4145, 6226 )
( 4150, 6231 )
( 4155, 6237 )
( 4160, 6242 )
( 4165, 6246 )
( 4170, 6251 )
( 4175, 6256 )
( 4180, 6262 )
( 4185, 6267 )
( 4190, 6272 )
( 4195, 6278 )
( 4200, 6283 )
( 4205, 6289 )
( 4210, 6295 )
( 4215, 6301 )
( 4220, 6306 )
( 4225, 6311 )
( 4230, 6316 )
( 4235, 6321 )
( 4240, 6327 )
( 4245, 6331 )
( 4250, 6337 )
( 4255, 6342 )
( 4260, 6347 )
( 4265, 6352 )
( 4270, 6358 )
( 4275, 6364 )
( 4280, 6369 )
( 4285, 6375 )
( 4290, 6381 )
( 4295, 6386 )
( 4300, 6392 )
( 4305, 6397 )
( 4310, 6402 )
( 4315, 6407 )
( 4320, 6413 )
( 4325, 6418 )
( 4330, 6423 )
( 4335, 6428 )
( 4340, 6434 )
( 4345, 6439 )
( 4350, 6444 )
( 4355, 6449 )
( 4360, 6455 )
( 4365, 6460 )
( 4370, 6465 )
( 4375, 6470 )
( 4380, 6475 )
( 4385, 6480 )
( 4390, 6486 )
( 4395, 6491 )
( 4400, 6496 )
( 4405, 6501 )
( 4410, 6507 )
( 4415, 6512 )
( 4420, 6517 )
( 4425, 6522 )
( 4430, 6527 )
( 4435, 6532 )
( 4440, 6537 )
( 4445, 6542 )
( 4450, 6548 )
( 4455, 6553 )
( 4460, 6559 )
( 4465, 6564 )
( 4470, 6568 )
( 4475, 6573 )
( 4480, 6578 )
( 4485, 6583 )
( 4490, 6588 )
( 4495, 6594 )
( 4500, 6600 )
( 4505, 6605 )
( 4510, 6610 )
( 4515, 6615 )
( 4520, 6621 )
( 4525, 6626 )
( 4530, 6631 )
( 4535, 6637 )
( 4540, 6642 )
( 4545, 6646 )
( 4550, 6651 )
( 4555, 6657 )
( 4560, 6663 )
( 4565, 6668 )
( 4570, 6674 )
( 4575, 6679 )
( 4580, 6685 )
( 4585, 6689 )
( 4590, 6695 )
( 4595, 6700 )
( 4600, 6706 )
( 4605, 6711 )
( 4610, 6716 )
( 4615, 6722 )
( 4620, 6727 )
( 4625, 6732 )
( 4630, 6737 )
( 4635, 6742 )
( 4640, 6747 )
( 4645, 6752 )
( 4650, 6757 )
( 4655, 6761 )
( 4660, 6767 )
( 4665, 6772 )
( 4670, 6778 )
( 4675, 6783 )
( 4680, 6788 )
( 4685, 6794 )
( 4690, 6799 )
( 4695, 6805 )
( 4700, 6810 )
( 4705, 6816 )
( 4710, 6822 )
( 4715, 6827 )
( 4720, 6832 )
( 4725, 6838 )
